instance,energy,probability [%]
P16_AC3_1,-6132.440921467721,0.22
P16_AC3_2,-6115.429079332765,0.22
P16_AC3_3,-6115.585734620179,0.22
P16_AC3_4,-6088.510655303206,0.22
P16_AC3_5,-6126.506285160172,0.22
P16_AC3_6,-6108.489458123505,0.22
P16_AC3_7,-6139.882437973408,0.22
P16_AC3_8,-6140.06837389773,0.22
P16_AC3_9,-6085.153556329432,0.22
P16_AC3_10,-6154.496596566712,0.22
P16_AC3_11,-6141.9943390958615,0.22
P16_AC3_12,-6224.166112318806,0.22
P16_AC3_13,-6156.281695051207,0.22
P16_AC3_14,-6127.788073444232,0.22
P16_AC3_15,-6083.0500515569365,0.22
P16_AC3_16,-6112.749777312136,0.22
P16_AC3_17,-6126.172938453175,0.22
P16_AC3_18,-6106.498274139339,0.22
P16_AC3_19,-6148.441704079722,0.22
P16_AC3_20,-6138.792844566322,0.22
P16_AC3_21,-6175.45755891077,0.22
P16_AC3_22,-6154.6200629221,0.22
P16_AC3_23,-6130.547260660927,0.22
P16_AC3_24,-6126.068893290489,0.22
P16_AC3_25,-6144.703665303894,0.22
P16_AC3_26,-6134.3648626838485,0.22
P16_AC3_27,-6149.6456020351625,0.22
P16_AC3_28,-6134.799943367673,0.22
P16_AC3_29,-6183.419183775474,0.22
P16_AC3_30,-6129.788061417632,0.22
P16_AC3_31,-6104.512668916889,0.22
P16_AC3_32,-6135.54199763963,0.22
P16_AC3_33,-6136.605401908092,0.22
P16_AC3_34,-6150.796475232757,0.22
P16_AC3_35,-6080.85026997357,0.22
P16_AC3_36,-6089.82621900194,0.22
P16_AC3_37,-6118.498945812444,0.22
P16_AC3_38,-6137.145271534493,0.22
P16_AC3_39,-6128.731622717114,0.22
P16_AC3_40,-6143.967228288651,0.22
P16_AC3_41,-6154.935050641964,0.22
P16_AC3_42,-6136.442293067941,0.22
P16_AC3_43,-6124.507036043846,0.22
P16_AC3_44,-6207.215627838156,0.22
P16_AC3_45,-6122.193233544684,0.22
P16_AC3_46,-6112.232174904713,0.22
P16_AC3_47,-6088.064246947826,0.22
P16_AC3_48,-6140.598713569669,0.22
P16_AC3_49,-6127.356818445811,0.22
P16_AC3_50,-6163.542774647352,0.22
P16_AC3_51,-6100.758621764448,0.22
P16_AC3_52,-6130.878621108851,0.22
P16_AC3_53,-6131.716168273403,0.22
P16_AC3_54,-6149.258775345923,0.22
P16_AC3_55,-6139.724431815007,0.22
P16_AC3_56,-6088.730013648095,0.22
P16_AC3_57,-6129.137555785509,0.22
P16_AC3_58,-6144.8799952152585,0.22
P16_AC3_59,-6100.553981675664,0.22
P16_AC3_60,-6136.025988868717,0.22
P16_AC3_61,-6141.644645846931,0.22
P16_AC3_62,-6149.280401098481,0.22
P16_AC3_63,-6198.861454985897,0.22
P16_AC3_64,-6133.375812850697,0.22
P16_AC3_65,-6142.92024024836,0.22
P16_AC3_66,-6103.253330098592,0.22
P16_AC3_67,-6121.025391713053,0.22
P16_AC3_68,-6136.12091543575,0.22
P16_AC3_69,-6159.899926636062,0.22
P16_AC3_70,-6112.966216804562,0.22
P16_AC3_71,-6163.528782458032,0.22
P16_AC3_72,-6137.346583432332,0.22
P16_AC3_73,-6153.009680458678,0.22
P16_AC3_74,-6159.46128841714,0.22
P16_AC3_75,-6138.150915984031,0.22
P16_AC3_76,-6130.246582727777,0.22
P16_AC3_77,-6119.760347091802,0.22
P16_AC3_78,-6104.799904837809,0.22
P16_AC3_79,-6166.002696858038,0.22
P16_AC3_80,-6168.023999120287,0.22
P16_AC3_81,-6134.11183210664,0.22
P16_AC3_82,-6154.356581442608,0.22
P16_AC3_83,-6130.903551244516,0.22
P16_AC3_84,-6149.274417481645,0.22
P16_AC3_85,-6131.042978247036,0.22
P16_AC3_86,-6172.719000599652,0.22
P16_AC3_87,-6183.649685234303,0.22
P16_AC3_88,-6095.355047816976,0.22
P16_AC3_89,-6164.985440451212,0.22
P16_AC3_90,-6127.976257074994,0.22
P16_AC3_91,-6144.610177344776,0.22
P16_AC3_92,-6107.902456917426,0.22
P16_AC3_93,-6148.8084839236935,0.22
P16_AC3_94,-6165.35795755265,0.22
P16_AC3_95,-6155.057389048388,0.22
P16_AC3_96,-6071.768960189049,0.22
P16_AC3_97,-6173.193008272751,0.22
P16_AC3_98,-6157.257039704927,0.22
P16_AC3_99,-6156.005575731305,0.22
P16_AC3_100,-6130.160148698661,0.22
