instance,energy,probability [%]
P16_RCO_1,-8595.92875956607,0.33
P16_RCO_2,-8602.427907648314,0.33
P16_RCO_3,-8552.910316851941,0.33
P16_RCO_4,-8569.303316142217,0.33
P16_RCO_5,-8558.89446606246,0.33
P16_RCO_6,-8570.930957867535,0.33
P16_RCO_7,-8568.897897724133,0.33
P16_RCO_8,-8614.458867863143,0.33
P16_RCO_9,-8589.933289281045,0.33
P16_RCO_10,-8562.40118873966,0.33
P16_RCO_11,-8538.522413537594,0.33
P16_RCO_12,-8540.039322565955,0.33
P16_RCO_13,-8559.173046196585,0.33
P16_RCO_14,-8582.09665715501,0.33
P16_RCO_15,-8536.31547814329,0.33
P16_RCO_16,-8561.643211277311,0.33
P16_RCO_17,-8590.955992526297,0.33
P16_RCO_18,-8556.369290662971,0.33
P16_RCO_19,-8575.50934299785,0.33
P16_RCO_20,-8619.915601663817,0.33
P16_RCO_21,-8569.947198490026,0.33
P16_RCO_22,-8568.888576697846,0.33
P16_RCO_23,-8530.526214324584,0.33
P16_RCO_24,-8535.71395474789,0.33
P16_RCO_25,-8564.725256303725,0.33
P16_RCO_26,-8570.211071268177,0.33
P16_RCO_27,-8605.520468436362,0.33
P16_RCO_28,-8556.020347134603,0.33
P16_RCO_29,-8577.507524176466,0.33
P16_RCO_30,-8577.252628549288,0.33
P16_RCO_31,-8570.514739436034,0.33
P16_RCO_32,-8543.18914758273,0.33
P16_RCO_33,-8581.148547643046,0.33
P16_RCO_34,-8599.435907913907,0.33
P16_RCO_35,-8548.787521437467,0.33
P16_RCO_36,-8572.833628232447,0.33
P16_RCO_37,-8605.974561265471,0.33
P16_RCO_38,-8590.92179025608,0.33
P16_RCO_39,-8592.605650906864,0.33
P16_RCO_40,-8618.248610116403,0.33
P16_RCO_41,-8502.037479049906,0.33
P16_RCO_42,-8612.026484019918,0.33
P16_RCO_43,-8595.422447830499,0.33
P16_RCO_44,-8548.099502467168,0.33
P16_RCO_45,-8581.61141701827,0.33
P16_RCO_46,-8635.95230119164,0.33
P16_RCO_47,-8563.062574895905,0.33
P16_RCO_48,-8620.506690237236,0.33
P16_RCO_49,-8581.42374273555,0.33
P16_RCO_50,-8556.076319630842,0.33
P16_RCO_51,-8569.874847982115,0.33
P16_RCO_52,-8503.67295036254,0.33
P16_RCO_53,-8545.025581182663,0.33
P16_RCO_54,-8572.697666057038,0.33
P16_RCO_55,-8592.199308648962,0.33
P16_RCO_56,-8568.585503529548,0.33
P16_RCO_57,-8586.92263390262,0.33
P16_RCO_58,-8549.608690244131,0.33
P16_RCO_59,-8611.189601039538,0.33
P16_RCO_60,-8643.271541399437,0.33
P16_RCO_61,-8571.022119061281,0.33
P16_RCO_62,-8524.943605013737,0.33
P16_RCO_63,-8572.88743510339,0.33
P16_RCO_64,-8559.60130839789,0.33
P16_RCO_65,-8613.283807983742,0.33
P16_RCO_66,-8574.691312947156,0.33
P16_RCO_67,-8580.731352527244,0.33
P16_RCO_68,-8575.248942636985,0.33
P16_RCO_69,-8549.046583302817,0.33
P16_RCO_70,-8591.559943351376,0.33
P16_RCO_71,-8583.169191974848,0.33
P16_RCO_72,-8591.181471405791,0.33
P16_RCO_73,-8541.271392391092,0.33
P16_RCO_74,-8611.457760995732,0.33
P16_RCO_75,-8548.047655645245,0.33
P16_RCO_76,-8607.99384573481,0.33
P16_RCO_77,-8523.154466096918,0.33
P16_RCO_78,-8533.957897348868,0.33
P16_RCO_79,-8574.33147743387,0.33
P16_RCO_80,-8515.201562222946,0.33
P16_RCO_81,-8547.169883699225,0.33
P16_RCO_82,-8554.605296471515,0.33
P16_RCO_83,-8524.461439152934,0.33
P16_RCO_84,-8547.72137540567,0.33
P16_RCO_85,-8624.165378054939,0.33
P16_RCO_86,-8543.98083876384,0.33
P16_RCO_87,-8547.233414645087,0.33
P16_RCO_88,-8533.343210023853,0.33
P16_RCO_89,-8649.550231753889,0.33
P16_RCO_90,-8553.484476443542,0.33
P16_RCO_91,-8578.994752001647,0.33
P16_RCO_92,-8543.42367291022,0.33
P16_RCO_93,-8581.403641128116,0.33
P16_RCO_94,-8549.104191901723,0.33
P16_RCO_95,-8605.537838917919,0.33
P16_RCO_96,-8559.709685958584,0.33
P16_RCO_97,-8532.432632132943,0.33
P16_RCO_98,-8513.289901059432,0.33
P16_RCO_99,-8553.476260295933,0.33
P16_RCO_100,-8533.885937726305,0.33
