instance,energy,probability [%]
P4_CBFM-P_1,-469.0,80.67
P4_CBFM-P_2,-492.0,8.67
P4_CBFM-P_3,-460.0,83.0
P4_CBFM-P_4,-495.0,87.33
P4_CBFM-P_5,-471.0,18.67
P4_CBFM-P_6,-460.0,7.33
P4_CBFM-P_7,-486.0,88.67
P4_CBFM-P_8,-490.0,79.67
P4_CBFM-P_9,-477.0,63.33
P4_CBFM-P_10,-478.0,97.67
P4_CBFM-P_11,-474.0,99.0
P4_CBFM-P_12,-485.0,93.0
P4_CBFM-P_13,-485.0,68.67
P4_CBFM-P_14,-470.0,9.0
P4_CBFM-P_15,-465.0,90.33
P4_CBFM-P_16,-460.0,71.67
P4_CBFM-P_17,-468.0,94.33
P4_CBFM-P_18,-473.0,29.0
P4_CBFM-P_19,-468.0,57.33
P4_CBFM-P_20,-476.0,98.33
P4_CBFM-P_21,-480.0,85.33
P4_CBFM-P_22,-470.0,86.0
P4_CBFM-P_23,-465.0,15.0
P4_CBFM-P_24,-446.0,99.33
P4_CBFM-P_25,-472.0,50.67
P4_CBFM-P_26,-467.0,87.33
P4_CBFM-P_27,-476.0,85.67
P4_CBFM-P_28,-475.0,71.33
P4_CBFM-P_29,-484.0,45.67
P4_CBFM-P_30,-492.0,80.0
P4_CBFM-P_31,-476.0,82.0
P4_CBFM-P_32,-447.0,66.67
P4_CBFM-P_33,-473.0,96.33
P4_CBFM-P_34,-453.0,62.0
P4_CBFM-P_35,-481.0,51.67
P4_CBFM-P_36,-465.0,95.67
P4_CBFM-P_37,-486.0,3.0
P4_CBFM-P_38,-498.0,86.67
P4_CBFM-P_39,-464.0,89.33
P4_CBFM-P_40,-464.0,73.0
P4_CBFM-P_41,-455.0,94.0
P4_CBFM-P_42,-481.0,13.67
P4_CBFM-P_43,-458.0,40.67
P4_CBFM-P_44,-467.0,93.67
P4_CBFM-P_45,-446.0,0.67
P4_CBFM-P_46,-467.0,20.33
P4_CBFM-P_47,-497.0,88.67
P4_CBFM-P_48,-478.0,88.0
P4_CBFM-P_49,-472.0,1.0
P4_CBFM-P_50,-452.0,71.33
P4_CBFM-P_51,-470.0,56.67
P4_CBFM-P_52,-452.0,0.67
P4_CBFM-P_53,-457.0,12.0
P4_CBFM-P_54,-476.0,68.0
P4_CBFM-P_55,-453.0,18.0
P4_CBFM-P_56,-463.0,65.67
P4_CBFM-P_57,-480.0,13.0
P4_CBFM-P_58,-481.0,36.0
P4_CBFM-P_59,-465.0,22.33
P4_CBFM-P_60,-460.0,1.0
P4_CBFM-P_61,-473.0,12.33
P4_CBFM-P_62,-474.0,4.67
P4_CBFM-P_63,-459.0,93.67
P4_CBFM-P_64,-480.0,52.0
P4_CBFM-P_65,-464.0,85.0
P4_CBFM-P_66,-476.0,30.33
P4_CBFM-P_67,-475.0,99.0
P4_CBFM-P_68,-455.0,72.0
P4_CBFM-P_69,-488.0,91.67
P4_CBFM-P_70,-459.0,0.67
P4_CBFM-P_71,-462.0,31.67
P4_CBFM-P_72,-465.0,93.0
P4_CBFM-P_73,-485.0,0.33
P4_CBFM-P_74,-468.0,94.33
P4_CBFM-P_75,-474.0,4.67
P4_CBFM-P_76,-471.0,90.33
P4_CBFM-P_77,-482.0,64.33
P4_CBFM-P_78,-457.0,98.67
P4_CBFM-P_79,-468.0,93.0
P4_CBFM-P_80,-470.0,95.0
P4_CBFM-P_81,-471.0,27.67
P4_CBFM-P_82,-460.0,9.67
P4_CBFM-P_83,-468.0,70.0
P4_CBFM-P_84,-476.0,98.67
P4_CBFM-P_85,-470.0,4.0
P4_CBFM-P_86,-476.0,71.0
P4_CBFM-P_87,-472.0,8.33
P4_CBFM-P_88,-476.0,95.67
P4_CBFM-P_89,-463.0,67.33
P4_CBFM-P_90,-467.0,26.67
P4_CBFM-P_91,-462.0,16.33
P4_CBFM-P_92,-474.0,59.67
P4_CBFM-P_93,-466.0,31.67
P4_CBFM-P_94,-484.0,88.67
P4_CBFM-P_95,-459.0,48.67
P4_CBFM-P_96,-468.0,1.33
P4_CBFM-P_97,-473.0,88.67
P4_CBFM-P_98,-478.0,1.0
P4_CBFM-P_99,-463.0,91.67
P4_CBFM-P_100,-475.0,0.67
